flux+ [cm^-2 s^-1],-err [cm^-2 s^-1],Blanco
2.452e-11,2.452e-11, 
1.955e-11,1.955e-11, 
2.434e-11,2.434e-11, 
2.623e-11,2.623e-11, 
1.94e-11,1.94e-11, 
2.393e-11,2.393e-11, 
1.269e-11,1.269e-11, 
1.919e-11,1.919e-11, 
1.559e-11,1.559e-11, 
3.726e-12,3.726e-12, 
1.94e-11,1.94e-11, 
1.728e-11,1.728e-11, 
1.712e-11,1.712e-11, 
1.851e-11,1.851e-11, 
1.396e-11,1.396e-11, 
2.125e-11,2.125e-11, 
1.69e-11,1.69e-11, 
1.604e-11,1.604e-11, 
1.763e-11,1.763e-11, 
1.172e-11,1.172e-11, 
1.61e-11,1.61e-11, 
1.502e-11,1.502e-11, 
1.662e-11,1.662e-11, 
2.54e-11,2.54e-11, 
2.277e-11,2.277e-11, 
2.164e-11,2.164e-11, 
1.533e-11,1.533e-11, 
1.621e-11,1.621e-11, 
1.437e-11,1.437e-11, 
1.463e-11,1.463e-11, 
2.233e-11,2.233e-11, 
2.831e-11,2.831e-11, 
1.282e-11,1.282e-11, 
1.239e-11,1.239e-11, 
1.2e-11,1.2e-11, 
1.334e-11,1.334e-11, 
1.953e-11,1.953e-11, 
2.251e-11,2.251e-11, 
3.018e-11,3.018e-11, 
2.677e-11,2.677e-11, 
1.199e-11,1.199e-11, 
2.437e-11,2.437e-11, 
1.84e-11,1.84e-11, 
1.97e-11,1.97e-11, 
2.188e-11,2.188e-11, 
2.728e-11,2.728e-11, 
2.895e-11,2.895e-11, 
1.355e-11,1.355e-11, 
1.294e-11,1.294e-11, 
2.152e-11,2.152e-11, 
1.277e-11,1.277e-11, 
1.534e-11,1.534e-11, 
3.71e-12,3.71e-12, 
1.685e-11,1.685e-11, 
2.239e-11,2.239e-11, 
1.687e-11,1.687e-11, 
2.05e-11,2.05e-11, 
2.552e-11,2.552e-11, 
9.644e-12,9.644e-12, 
2.681e-11,2.681e-11, 
2.366e-11,2.366e-11, 
2.018e-11,2.018e-11, 
1.293e-11,1.293e-11, 
8.472e-12,8.472e-12, 
2.318e-11,2.318e-11, 
2.353e-11,2.353e-11, 
1.407e-11,1.407e-11, 
1.701e-11,1.701e-11, 
1.265e-12,1.265e-12, 
2.052e-11,2.052e-11, 
2.728e-11,2.728e-11, 
1.355e-11,1.355e-11, 
2.583e-11,2.583e-11, 
2.024e-11,2.024e-11, 
1.594e-11,1.594e-11, 
2.434e-11,2.434e-11, 
5.998e-12,5.998e-12, 
1.518e-11,1.518e-11, 
2.015e-11,2.015e-11, 
1.421e-11,1.421e-11, 
2.038e-11,2.038e-11, 
1.645e-11,1.645e-11, 
2.663e-11,2.663e-11, 
2.677e-11,2.677e-11, 
2.136e-11,2.136e-11, 
2.498e-11,2.498e-11, 
1.296e-11,1.296e-11, 
2.564e-11,2.564e-11, 
2.199e-11,2.199e-11, 
2.129e-11,2.129e-11, 
1.46e-11,1.46e-11, 
1.78e-11,1.78e-11, 
1.955e-11,1.955e-11, 
1.745e-11,1.745e-11, 
2.333e-11,2.333e-11, 
1.528e-11,1.528e-11, 
1.953e-11,1.953e-11, 
2.778e-11,2.778e-11, 
2.28e-11,2.28e-11, 
3.287e-11,3.287e-11, 
1.764e-11,1.764e-11, 
2.016e-11,2.016e-11, 
1.755e-11,1.755e-11, 
1.496e-11,1.496e-11, 
3.171e-11,3.171e-11, 
2.81e-11,2.81e-11, 
2.193e-11,2.193e-11, 
1.402e-11,1.402e-11, 
2.958e-11,2.958e-11, 
1.863e-11,1.863e-11, 
1.782e-11,1.782e-11, 
1.657e-11,1.657e-11, 
2.282e-11,2.282e-11, 
2.56e-11,2.56e-11, 
9.816e-12,9.816e-12, 
1.14e-11,1.14e-11, 
2.877e-11,2.877e-11, 
2.163e-11,2.163e-11, 
1.797e-11,1.797e-11, 
1.591e-11,1.591e-11, 
1.865e-11,1.865e-11, 
2.043e-11,2.043e-11, 
1.755e-11,1.755e-11, 
2.37e-11,2.37e-11, 
2.34e-11,2.34e-11, 
1.228e-11,1.228e-11, 
1.956e-11,1.956e-11, 
2.3e-11,2.3e-11, 
1.277e-11,1.277e-11, 
2.765e-11,2.765e-11, 
2.293e-11,2.293e-11, 
2.279e-11,2.279e-11, 
2.882e-11,2.882e-11, 
2.666e-11,2.666e-11, 
7.129e-12,7.129e-12, 
2.629e-11,2.629e-11, 
4.43e-12,4.43e-12, 
2.499e-11,2.499e-11, 
1.864e-11,1.864e-11, 
2.117e-11,2.117e-11, 
1.852e-11,1.852e-11, 
7.73e-12,7.73e-12, 
2.606e-11,2.606e-11, 
1.461e-11,1.461e-11, 
1.843e-11,1.843e-11, 
3.225e-11,3.225e-11, 
1.942e-11,1.942e-11, 
1.891e-11,1.891e-11, 
2.217e-11,2.217e-11, 
1.844e-11,1.844e-11, 
1.372e-11,1.372e-11, 
2.196e-11,2.196e-11, 
1.911e-11,1.911e-11, 
1.479e-11,1.479e-11, 
1.397e-11,1.397e-11, 
2.641e-11,2.641e-11, 
1.585e-11,1.585e-11, 
1.582e-11,1.582e-11, 
2.362e-11,2.362e-11, 
1.974e-11,1.974e-11, 
1.373e-11,1.373e-11, 
2.164e-11,2.164e-11, 
