flux+ [cm^-2 s^-1],-err [cm^-2 s^-1],Blanco
1.692e-12,1.692e-12, 
-4.01e-14,-4.01e-14, 
2.396e-12,2.396e-12, 
5.707e-13,5.707e-13, 
1.226e-12,1.226e-12, 
2.64e-12,2.64e-12, 
2.376e-12,2.376e-12, 
1.506e-12,1.506e-12, 
-1.689e-12,-1.689e-12, 
-1.569e-12,-1.569e-12, 
-1.709e-13,-1.709e-13, 
1.58e-12,1.58e-12, 
1.037e-12,1.037e-12, 
2.94e-13,2.94e-13, 
1.039e-12,1.039e-12, 
4.364e-13,4.364e-13, 
9.161e-13,9.161e-13, 
-2.185e-12,-2.185e-12, 
2.448e-12,2.448e-12, 
4.032e-13,4.032e-13, 
-5.906e-13,-5.906e-13, 
9.091e-12,9.091e-12, 
2.579e-13,2.579e-13, 
3.266e-12,3.266e-12, 
6.424e-12,6.424e-12, 
3.403e-12,3.403e-12, 
2.043e-12,2.043e-12, 
1.858e-12,1.858e-12, 
2.583e-12,2.583e-12, 
-2.093e-12,-2.093e-12, 
8.234e-12,8.234e-12, 
3.085e-12,3.085e-12, 
9.46e-12,9.46e-12, 
8.087e-12,8.087e-12, 
5.504e-12,5.504e-12, 
1.574e-11,1.574e-11, 
8.579e-13,8.579e-13, 
1.206e-11,1.206e-11, 
6.244e-12,6.244e-12, 
5.475e-13,5.475e-13, 
3.479e-12,3.479e-12, 
3.782e-12,3.782e-12, 
1.035e-12,1.035e-12, 
6.769e-13,6.769e-13, 
5.707e-12,5.707e-12, 
-2.103e-13,-2.103e-13, 
2.087e-12,2.087e-12, 
3.001e-12,3.001e-12, 
1.607e-12,1.607e-12, 
4.659e-13,4.659e-13, 
1.344e-12,1.344e-12, 
3.099e-12,3.099e-12, 
-6.72e-13,-6.72e-13, 
2.423e-12,2.423e-12, 
8.661e-13,8.661e-13, 
2.206e-12,2.206e-12, 
1.369e-12,1.369e-12, 
4.319e-12,4.319e-12, 
1.042e-12,1.042e-12, 
-3.284e-13,-3.284e-13, 
4.758e-12,4.758e-12, 
-1.561e-12,-1.561e-12, 
3.048e-12,3.048e-12, 
3.177e-12,3.177e-12, 
2.448e-12,2.448e-12, 
4.297e-12,4.297e-12, 
1.088e-11,1.088e-11, 
8.45e-12,8.45e-12, 
1.772e-12,1.772e-12, 
6.111e-12,6.111e-12, 
1.599e-12,1.599e-12, 
5.734e-12,5.734e-12, 
1.963e-12,1.963e-12, 
8.487e-12,8.487e-12, 
1.128e-11,1.128e-11, 
5.115e-12,5.115e-12, 
3.118e-12,3.118e-12, 
9.266e-12,9.266e-12, 
8.292e-12,8.292e-12, 
9.698e-13,9.698e-13, 
-6.738e-13,-6.738e-13, 
4.112e-12,4.112e-12, 
3.618e-12,3.618e-12, 
-6.043e-13,-6.043e-13, 
-4.975e-13,-4.975e-13, 
1.641e-12,1.641e-12, 
9.594e-13,9.594e-13, 
-1.767e-12,-1.767e-12, 
1.286e-13,1.286e-13, 
2.335e-12,2.335e-12, 
-2.585e-13,-2.585e-13, 
2.325e-12,2.325e-12, 
9.272e-14,9.272e-14, 
-2.152e-12,-2.152e-12, 
7.4e-14,7.4e-14, 
1.366e-12,1.366e-12, 
2.616e-12,2.616e-12, 
3.335e-12,3.335e-12, 
1.837e-12,1.837e-12, 
2.958e-12,2.958e-12, 
1.076e-12,1.076e-12, 
3.292e-12,3.292e-12, 
5.139e-12,5.139e-12, 
3.36e-12,3.36e-12, 
-1.613e-13,-1.613e-13, 
2.435e-12,2.435e-12, 
-1.083e-13,-1.083e-13, 
3.864e-12,3.864e-12, 
9.317e-13,9.317e-13, 
2.735e-13,2.735e-13, 
1.05e-12,1.05e-12, 
1.86e-12,1.86e-12, 
-6.193e-13,-6.193e-13, 
4.485e-12,4.485e-12, 
4.352e-12,4.352e-12, 
-3.341e-14,-3.341e-14, 
1.326e-12,1.326e-12, 
